term,status,targets,candidateTargets,sources,note
汗,approved,genre:sweat,,localogue-community-data,Community genre_000065 (theme) 精确名称。
汗だく,approved,genre:sweat,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
汗水,approved,genre:sweat,,localogue-community-data,Community genre_000065 (theme) 精确名称。
法国,approved,sourceOnly:region_france,,localogue-vocabulary,
泡泡浴,approved,genre:bubble_bath,,localogue-community-data,Community genre_000254 (practice) 精确名称。
泡泡袜,approved,genre:loose_socks,,localogue-community-data,Community genre_000169 (wardrobe) 精确名称。
泡風呂,approved,genre:bubble_bath,,localogue-community-data,Community genre_000254 (practice) 精确名称。
泳装,approved,genre:swimsuit,,localogue-community-data,Community genre_000139 (wardrobe) 精确名称。
洋ピン,approved,workType:overseas_production,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
洗脑,approved,genre:mind_control,,localogue-community-data,Community genre_000038 (theme) 精确名称。
洗脳,approved,genre:mind_control,,localogue-community-data,Community genre_000038 (theme) 精确名称。
流媒体,approved,sourceOnly:media_streaming,,localogue-community-data|localogue-vocabulary,Community genre_000315 (media) 精确名称。
浮気,approved,genre:cheating,,localogue-community-data,Community genre_000049 (theme) 精确名称。
浴室,approved,genre:bath,,localogue-community-data,Community genre_000253 (practice) 精确名称。
浴衣,approved,genre:yukata,,localogue-community-data,Community genre_000154 (wardrobe) 精确名称。
海外,approved,workType:overseas_production,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
海外作品,approved,workType:overseas_production,,localogue-community-data,Community genre_000293 (production) 精确名称。
海外輸入,approved,workType:imported_work,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
润滑液玩法,approved,genre:lotion_play,,localogue-community-data,Community genre_000234 (act) 精确名称。
淫乱、ハード系,review-required,,genre:seductress,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
淫語,approved,genre:dirty_talk,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
深吻,approved,genre:deep_kissing,,localogue-community-data,Community genre_000204 (act) 精确名称。
深喉,approved,genre:deep_throat,,localogue-community-data,Community genre_000206 (act) 精确名称。
清楚系,approved,genre:innocent_type,,localogue-community-data,Community genre_000114 (role) 精确名称。
清纯系,approved,genre:innocent_type,,localogue-community-data,Community genre_000114 (role) 精确名称。
温泉,approved,genre:hot_spring,,localogue-community-data,Community genre_000026 (theme) 精确名称。
温泉プレイ,approved,genre:hot_spring_play,,localogue-community-data,Community genre_000255 (practice) 精确名称。
温泉玩法,approved,genre:hot_spring_play,,localogue-community-data,Community genre_000255 (practice) 精确名称。
潮吹,approved,genre:squirting,,localogue-community-data,Community genre_000225 (act) 精确名称。
潮吹き,approved,genre:squirting,,localogue-community-data,Community genre_000225 (act) 精确名称。
無修正,approved,workType:uncensored,,localogue-community-data,Community genre_000298 (production) 精确名称。
熟女,approved,genre:mature,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000003 (theme) 精确名称。 Community genre_000116 (role) 精确名称。
熟女角色,approved,genre:mature,,localogue-community-data,Community genre_000116 (role) 精确名称。
爆乳,approved,genre:very_large_bust,,localogue-community-data,Community genre_000182 (body) 精确名称。
爱情喜剧,approved,genre:romantic_comedy,,localogue-community-data,Community genre_000017 (theme) 精确名称。
独立制作,approved,workType:independent_production,,localogue-community-data,Community genre_000292 (production) 精确名称。
猫耳,approved,genre:cat_ears,,localogue-community-data,Community genre_000161 (wardrobe) 精确名称。
玩具,approved,genre:sex_toys,,localogue-community-data|metatube-356-20240608|metatube-reference,Community genre_000256 (practice) 精确名称。
玩法分类,approved,sourceOnly:taxonomy_section_practice,,localogue-vocabulary,
男の娘,approved,genre:feminine_boy,,localogue-community-data,Community genre_000125 (role) 精确名称。
男同性题材,approved,genre:gay,,localogue-community-data,Community genre_000269 (practice) 精确名称。
男女混合,approved,genre:mixed_gender,,localogue-community-data,Community genre_000271 (practice) 精确名称。
男性,approved,workType:for_men,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
男性出演者,approved,genre:male_performer,,localogue-community-data,Community genre_000127 (role) 精确名称。
男性向,approved,workType:for_men,,localogue-community-data,Community genre_000296 (production) 精确名称。
男性向け,approved,workType:for_men,,localogue-community-data,Community genre_000296 (production) 精确名称。
男性潮吹,approved,genre:male_squirting,,localogue-community-data,Community genre_000242 (act) 精确名称。
男演员,approved,genre:male_performer,,localogue-community-data,Community genre_000127 (role) 精确名称。
男潮吹き,approved,genre:male_squirting,,localogue-community-data,Community genre_000242 (act) 精确名称。
異物挿入,approved,genre:object_insertion,,localogue-community-data,Community genre_000260 (practice) 精确名称。
病院,approved,genre:hospital_setting,,localogue-community-data,Community genre_000031 (theme) 精确名称。
痴女,approved,genre:seductress,,localogue-community-data,Community genre_000241 (act) 精确名称。
痴汉企划,approved,genre:groping_production,,localogue-community-data,Community genre_000267 (practice) 精确名称。
痴汉题材,approved,genre:groping_theme,,localogue-community-data,Community genre_000053 (theme) 精确名称。
痴漢,approved,genre:groping_theme,,localogue-community-data,Community genre_000053 (theme) 精确名称。
痴漢もの,approved,genre:groping_production,,localogue-community-data,Community genre_000267 (practice) 精确名称。
白人出演者,approved,genre:white_performer,,localogue-community-data,Community genre_000132 (role) 精确名称。
白人女優,approved,genre:white_performer,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
白人演员,approved,genre:white_performer,,localogue-community-data,Community genre_000132 (role) 精确名称。
白皙,approved,genre:fair_skinned,,localogue-community-data,Community genre_000196 (body) 精确名称。
盗撮,approved,genre:hidden_camera,,localogue-community-data,Community genre_000054 (theme) 精确名称。
盗撮・のぞき,approved,genre:voyeurism,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
盗撮風,approved,genre:hidden_camera_style,,localogue-community-data,Community genre_000264 (practice) 精确名称。
相互自慰,approved,genre:mutual_masturbation,,localogue-community-data,Community genre_000233 (act) 精确名称。
看護婦,approved,genre:nurse,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
看護婦・ナース,approved,genre:nurse,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
看護師,approved,genre:nurse,,localogue-community-data,Community genre_000089 (role) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
眼鏡,approved,genre:glasses,,localogue-community-data,Community genre_000172 (wardrobe) 精确名称。
眼镜,approved,genre:glasses,,localogue-community-data,Community genre_000172 (wardrobe) 精确名称。
着衣,approved,genre:clothed,,localogue-community-data,Community genre_000179 (wardrobe) 精确名称。
睡裙,approved,genre:negligee,,localogue-community-data,Community genre_000146 (wardrobe) 精确名称。
短片,approved,workType:short_form,,localogue-community-data,Community genre_000305 (production) 精确名称。
短篇合集,approved,workType:omnibus,,localogue-community-data,Community genre_000281 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
短編,approved,workType:short_form,,localogue-community-data,Community genre_000305 (production) 精确名称。
科幻,approved,genre:science_fiction,,localogue-community-data,Community genre_000021 (theme) 精确名称。
秘书,approved,genre:secretary,,localogue-community-data,Community genre_000085 (role) 精确名称。
秘書,approved,genre:secretary,,localogue-community-data,Community genre_000085 (role) 精确名称。
空乘,approved,genre:flight_attendant,,localogue-community-data,Community genre_000093 (role) 精确名称。
立ちバック,approved,genre:standing_rear_entry,,localogue-community-data,Community genre_000215 (act) 精确名称。
站立后入,approved,genre:standing_rear_entry,,localogue-community-data,Community genre_000215 (act) 精确名称。
竞泳泳装,approved,genre:competition_swimsuit,,localogue-community-data,Community genre_000141 (wardrobe) 精确名称。
童顔,approved,genre:baby_faced,,localogue-community-data,Community genre_000115 (role) 精确名称。 Community genre_000201 (body) 精确名称。
童颜,approved,genre:baby_faced,,localogue-community-data,Community genre_000115 (role) 精确名称。 Community genre_000201 (body) 精确名称。
競泳水着,approved,genre:competition_swimsuit,,localogue-community-data,Community genre_000141 (wardrobe) 精确名称。
第一人称实录,approved,genre:pov_recording,,localogue-community-data,Community genre_000265 (practice) 精确名称。
第一人称拍摄,approved,genre:pov_recording,,localogue-community-data,Community genre_000070 (theme) 精确名称。
筋肉,approved,genre:muscular,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
筋肉質,approved,genre:muscular,,localogue-community-data,Community genre_000194 (body) 精确名称。
粉丝感谢,approved,genre:fan_appreciation,,localogue-community-data,Community genre_000010 (theme) 精确名称。
粉红电影,approved,workType:pink_film,,localogue-community-data,Community genre_000276 (production) 精确名称。
精油按摩,approved,genre:oil_play,,localogue-community-data,Community genre_000236 (act) 精确名称。
精选集,approved,workType:best_of,,localogue-community-data,Community genre_000280 (production) 精确名称。
系列作品,approved,workType:series_entry,,localogue-community-data,Community genre_000307 (production) 精确名称。
素人,approved,genre:amateur,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000004 (theme) 精确名称。 Community genre_000118 (role) 精确名称。
素人角色,approved,genre:amateur,,localogue-community-data,Community genre_000118 (role) 精确名称。
素股,approved,genre:intercrural_sex,,localogue-community-data,Community genre_000211 (act) 精确名称。
紧身衣,approved,genre:leotard,,localogue-community-data,Community genre_000176 (wardrobe) 精确名称。
紧身裙,approved,genre:pencil_skirt,,localogue-community-data,Community genre_000165 (wardrobe) 精确名称。
緊縛,approved,genre:kinbaku,,localogue-community-data,Community genre_000244 (practice) 精确名称。
総集編,approved,workType:compilation,,localogue-community-data|metatube-356-20240608|metatube-reference,Community genre_000279 (production) 精确名称。
縛り,approved,genre:kinbaku,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
纪录片,approved,genre:documentary,,localogue-community-data,Community genre_000015 (theme) 精确名称。
纪录片作品,approved,workType:documentary_production,,localogue-community-data,Community genre_000288 (production) 精确名称。
纪念作品,approved,sourceOnly:lifecycle_anniversary,,localogue-community-data|localogue-vocabulary,Community genre_000009 (theme) 精确名称。
继母,approved,genre:stepmother,,localogue-community-data,Community genre_000106 (role) 精确名称。
绳缚,approved,genre:kinbaku,,localogue-community-data,Community genre_000244 (practice) 精确名称。
美乳,approved,genre:beautiful_breasts,,localogue-community-data,Community genre_000186 (body) 精确名称。
美发师,approved,genre:hairdresser,,localogue-community-data,Community genre_000095 (role) 精确名称。
美容师,approved,genre:esthetician,,localogue-community-data,Community genre_000096 (role) 精确名称。
美容師,approved,genre:hairdresser,,localogue-community-data,Community genre_000095 (role) 精确名称。
美容护理,approved,genre:beauty_treatment,,localogue-community-data,Community genre_000030 (theme) 精确名称。
美容院,approved,genre:beauty_salon,,localogue-community-data,Community genre_000029 (theme) 精确名称。
美少女,approved,genre:beautiful_girl,,legacy-localogue|localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000001 (theme) 精确名称。
美少女ムービー,approved,genre:beautiful_girl,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
美尻,approved,genre:beautiful_butt,,localogue-community-data,Community genre_000188 (body) 精确名称。
美胸,approved,genre:beautiful_breasts,,localogue-community-data,Community genre_000186 (body) 精确名称。
美脚,approved,genre:beautiful_legs,,localogue-community-data,Community genre_000197 (body) 精确名称。
美腿,approved,genre:beautiful_legs,,localogue-community-data,Community genre_000197 (body) 精确名称。
美臀,approved,genre:beautiful_butt,,localogue-community-data,Community genre_000188 (body) 精确名称。
羞恥,approved,genre:humiliation,,localogue-community-data,Community genre_000057 (theme) 精确名称。
羞恥プレイ,approved,genre:humiliation_play,,localogue-community-data,Community genre_000249 (practice) 精确名称。
羞耻,approved,genre:humiliation,,localogue-community-data,Community genre_000057 (theme) 精确名称。
羞耻玩法,approved,genre:humiliation_play,,localogue-community-data,Community genre_000249 (practice) 精确名称。
群交,approved,genre:orgy,,localogue-community-data,Community genre_000231 (act) 精确名称。
義母,approved,genre:stepmother,,localogue-community-data,Community genre_000106 (role) 精确名称。
职场女性,approved,genre:office_lady,,localogue-community-data,Community genre_000084 (role) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
职场题材,approved,genre:workplace_setting,,localogue-community-data,Community genre_000028 (theme) 精确名称。
職場,approved,genre:workplace_setting,,localogue-community-data,Community genre_000028 (theme) 精确名称。
職業色々,approved,sourceOnly:generic_professions,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
肌肉型,approved,genre:muscular,,localogue-community-data,Community genre_000194 (body) 精确名称。
肛交,approved,genre:anal,,localogue-community-data,Community genre_000217 (act) 精确名称。
股间摩擦,approved,genre:intercrural_sex,,localogue-community-data,Community genre_000211 (act) 精确名称。
肥満,approved,genre:plus_size,,localogue-community-data,Community genre_000191 (body) 精确名称。
肥胖,approved,genre:plus_size,,localogue-community-data,Community genre_000191 (body) 精确名称。
胸罩,approved,genre:bra,,localogue-community-data,Community genre_000143 (wardrobe) 精确名称。
脚フェチ,approved,genre:leg_fetish,,localogue-community-data,Community genre_000060 (theme) 精确名称。
腿控,approved,genre:leg_fetish,,localogue-community-data,Community genre_000060 (theme) 精确名称。
膣鏡,approved,genre:speculum,,metatube-356-20240608|metatube-reference,
臀部偏好,approved,genre:butt_fetish,,localogue-community-data,Community genre_000063 (theme) 精确名称。
自主制作,approved,workType:independent_production,,localogue-community-data,Community genre_000292 (production) 精确名称。
自慰,approved,genre:masturbation,,legacy-localogue|localogue-community-data,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。 Community genre_000232 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
舔阴,approved,genre:cunnilingus,,localogue-community-data,Community genre_000207 (act) 精确名称。
舞蹈,approved,genre:dance,,localogue-community-data,Community genre_000033 (theme) 精确名称。
色白,approved,genre:fair_skinned,,localogue-community-data,Community genre_000196 (body) 精确名称。
色键,approved,sourceOnly:technical_chroma_key,,localogue-vocabulary,
艺人,approved,genre:celebrity,,localogue-community-data,Community genre_000072 (role) 精确名称。
花嫁,approved,genre:bride,,localogue-community-data,Community genre_000102 (role) 精确名称。
花嫁、若妻,review-required,,genre:bride|genre:young_wife,metatube-jp-zh-20250329|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
芸能人,approved,genre:celebrity,,localogue-community-data,Community genre_000072 (role) 精确名称。
苗条,approved,genre:slender,,localogue-community-data,Community genre_000189 (body) 精确名称。
若妻,approved,genre:young_wife,,localogue-community-data,Community genre_000103 (role) 精确名称。
药物题材,approved,sourceOnly:content_drug,,localogue-vocabulary,
蓝光,approved,sourceOnly:media_blu_ray,,localogue-community-data|localogue-vocabulary,Community genre_000309 (media) 精确名称。
薄消し,approved,workType:light_mosaic,,localogue-community-data,Community genre_000300 (production) 精确名称。
薄码,approved,workType:light_mosaic,,localogue-community-data,Community genre_000300 (production) 精确名称。
行为分类,approved,sourceOnly:taxonomy_section_act,,localogue-vocabulary,
被夺爱,approved,genre:netorare,,localogue-community-data,Community genre_000047 (theme) 精确名称。
裸エプロン,approved,genre:nude_apron,,localogue-community-data,Community genre_000147 (wardrobe) 精确名称。
裸体围裙,approved,genre:nude_apron,,localogue-community-data,Community genre_000147 (wardrobe) 精确名称。
複数プレイ,approved,genre:group_sex,,localogue-community-data,Community genre_000229 (act) 精确名称。
複数話,approved,workType:multi_episode,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
西装,approved,genre:suit,,localogue-community-data,Community genre_000152 (wardrobe) 精确名称。
覗き,approved,genre:voyeurism,,localogue-community-data,Community genre_000055 (theme) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
角色分类,approved,sourceOnly:taxonomy_section_role,,localogue-vocabulary,
角色扮演,approved,genre:cosplay,,localogue-community-data,Community genre_000158 (wardrobe) 精确名称。
触手,approved,genre:tentacles,,localogue-community-data,Community genre_000262 (practice) 精确名称。
触摸打字,approved,sourceOnly:technical_touch_typing,,localogue-vocabulary,
言葉責め,approved,genre:dirty_talk,,localogue-community-data,Community genre_000240 (act) 精确名称。
言语调教,approved,genre:dirty_talk,,localogue-community-data,Community genre_000240 (act) 精确名称。
記念作,approved,sourceOnly:lifecycle_anniversary,,localogue-community-data|localogue-vocabulary,Community genre_000009 (theme) 精确名称。
話題作,approved,sourceOnly:marketing_topic_work,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
誘惑,approved,genre:seduction,,localogue-community-data,Community genre_000050 (theme) 精确名称。
調教,approved,genre:training,,localogue-community-data,Community genre_000246 (practice) 精确名称。
講師,approved,genre:instructor,,localogue-community-data,Community genre_000083 (role) 精确名称。
警察,approved,genre:police_officer,,localogue-community-data,Community genre_000092 (role) 精确名称。
警察官,approved,genre:police_officer,,localogue-community-data,Community genre_000092 (role) 精确名称。
讲师,approved,genre:instructor,,localogue-community-data,Community genre_000083 (role) 精确名称。
访谈,approved,workType:interview,,localogue-community-data,Community genre_000289 (production) 精确名称。
话题作品,approved,sourceOnly:marketing_topic_work,,localogue-vocabulary,
诱惑,approved,genre:seduction,,localogue-community-data,Community genre_000050 (theme) 精确名称。
调教,approved,genre:training,,localogue-community-data,Community genre_000246 (practice) 精确名称。
貧乳,approved,genre:small_bust,,localogue-community-data,Community genre_000184 (body) 精确名称。
貧乳・微乳,review-required,,genre:petite_bust|genre:small_bust,metatube-356-20240608|metatube-reference,来源把多个语义合并为一个分类桶；保留为审核候选，不自动同时写入多个 Canonical。 来源将多个语义合并为一个分类桶；不得自动同时写入多个 Canonical，进入人工审核。
贫乳,approved,genre:small_bust,,localogue-community-data,Community genre_000184 (body) 精确名称。
超ミニスカート,approved,genre:micro_miniskirt,,localogue-community-data,Community genre_000164 (wardrobe) 精确名称。
超乳,approved,genre:extremely_large_bust,,localogue-community-data,Community genre_000183 (body) 精确名称。
超大胸部,approved,genre:extremely_large_bust,,localogue-community-data,Community genre_000183 (body) 精确名称。
超短裙,approved,genre:micro_miniskirt,,localogue-community-data,Community genre_000164 (wardrobe) 精确名称。
趣味、教養,approved,workType:instructional,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
足コキ,approved,genre:footjob,,localogue-community-data,Community genre_000209 (act) 精确名称。
足フェチ,approved,genre:foot_fetish,,localogue-community-data,Community genre_000061 (theme) 精确名称。
足交,approved,genre:footjob,,localogue-community-data,Community genre_000209 (act) 精确名称。
足控,approved,genre:foot_fetish,,localogue-community-data,Community genre_000061 (theme) 精确名称。
跨性别女性,approved,genre:transgender_woman,,localogue-community-data,Community genre_000126 (role) 精确名称。
跳蛋,approved,genre:bullet_vibrator,,localogue-community-data,Community genre_000259 (practice) 精确名称。
身份互换,approved,genre:body_swap,,localogue-community-data,Community genre_000036 (theme) 精确名称。
車掌,approved,genre:train_conductor,,localogue-community-data,Community genre_000094 (role) 精确名称。
輸入作品,approved,workType:imported_work,,localogue-community-data,Community genre_000294 (production) 精确名称。
车内性行为,approved,genre:car_sex,,localogue-community-data,Community genre_000252 (practice) 精确名称。
辣妹,approved,genre:gyaru,,localogue-community-data,Community genre_000113 (role) 精确名称。
辱め,approved,genre:humiliation,,metatube-356-20240608|metatube-reference,
过膝袜,approved,genre:thigh_high_socks,,localogue-community-data,Community genre_000168 (wardrobe) 精确名称。
运动,approved,genre:sports,,localogue-community-data,Community genre_000032 (theme) 精确名称。
运动服,approved,genre:gym_clothes,,localogue-community-data,Community genre_000136 (wardrobe) 精确名称。
运动短裤,approved,genre:bloomers,,localogue-community-data,Community genre_000137 (wardrobe) 精确名称。
近亲设定,approved,genre:incest_theme,,localogue-community-data,Community genre_000045 (theme) 精确名称。
近親相姦,approved,genre:incest_theme,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
近親設定,approved,genre:incest_theme,,localogue-community-data,Community genre_000045 (theme) 精确名称。
进口作品,approved,workType:imported_work,,localogue-community-data,Community genre_000294 (production) 精确名称。
连裤袜,approved,genre:pantyhose,,localogue-community-data,Community genre_000167 (wardrobe) 精确名称。
迷你裙,approved,genre:miniskirt,,localogue-community-data,Community genre_000163 (wardrobe) 精确名称。
逆ナン,approved,genre:reverse_pickup,,localogue-community-data,Community genre_000051 (theme) 精确名称。
透明人間,approved,genre:invisible_person,,localogue-community-data,Community genre_000035 (theme) 精确名称。
配信,approved,sourceOnly:media_digital_distribution,,localogue-community-data|localogue-vocabulary,Community genre_000314 (media) 精确名称。
重制,approved,workType:remastered,,localogue-community-data,Community genre_000303 (production) 精确名称。
野外,approved,genre:outdoor,,localogue-community-data,Community genre_000251 (practice) 精确名称。
長編,approved,workType:feature_length,,localogue-community-data,Community genre_000306 (production) 精确名称。
長身,approved,genre:tall,,localogue-community-data,Community genre_000192 (body) 精确名称。
长片,approved,workType:feature_length,,localogue-community-data,Community genre_000306 (production) 精确名称。
长靴,approved,genre:boots,,localogue-community-data,Community genre_000170 (wardrobe) 精确名称。
隐形人,approved,genre:invisible_person,,localogue-community-data,Community genre_000035 (theme) 精确名称。
露出,approved,genre:public_exposure,,localogue-community-data,Community genre_000056 (theme) 精确名称。
露出プレイ,approved,genre:exhibitionism,,localogue-community-data,Community genre_000250 (practice) 精确名称。
露出玩法,approved,genre:exhibitionism,,localogue-community-data,Community genre_000250 (practice) 精确名称。
青梅竹马,approved,genre:childhood_friend,,localogue-community-data,Community genre_000043 (theme) 精确名称。 Community genre_000112 (role) 精确名称。
韓国,approved,sourceOnly:region_korea,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
韩国,approved,sourceOnly:region_korea,,localogue-vocabulary,
顔射,approved,genre:facial,,localogue-community-data,Community genre_000219 (act) 精确名称。
颜射,approved,genre:facial,,localogue-community-data,Community genre_000219 (act) 精确名称。
風呂,approved,genre:bath,,localogue-community-data,Community genre_000253 (practice) 精确名称。
飲精,approved,genre:semen_swallowing,,localogue-community-data,Community genre_000221 (act) 精确名称。
首次拍摄,approved,sourceOnly:lifecycle_first_shoot,,localogue-community-data|localogue-vocabulary,Community genre_000005 (theme) 精确名称。
騎乗位,approved,genre:cowgirl,,localogue-community-data,Community genre_000212 (act) 精确名称。
骑乘位,approved,genre:cowgirl,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
高挑,approved,genre:tall,,localogue-community-data,Community genre_000192 (body) 精确名称。
高清,approved,sourceOnly:media_hd,,localogue-community-data|localogue-vocabulary,Community genre_000319 (media) 精确名称。
高跟鞋,approved,genre:high_heels,,localogue-community-data,Community genre_000171 (wardrobe) 精确名称。
高齢男性,approved,genre:older_man,,localogue-community-data,Community genre_000128 (role) 精确名称。
高龄男性,approved,genre:older_man,,localogue-community-data,Community genre_000128 (role) 精确名称。
黑人演员,approved,genre:black_performer,,localogue-community-data,Community genre_000131 (role) 精确名称。
黒人出演者,approved,genre:black_performer,,localogue-community-data,Community genre_000131 (role) 精确名称。
黒人男優,approved,genre:black_performer,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
人妻・主婦,approved,genre:married_woman,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
病院・クリニック,approved,genre:hospital_setting,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
若妻・幼妻,approved,genre:young_wife,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ビジネススーツ,approved,genre:suit,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
覆面・マスク,approved,genre:mask,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
アクション・格闘,approved,genre:fighting_action,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
アニメ,approved,workType:adult_animation,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
イメージビデオ（男性）,approved,workType:image_video,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ギャグ・コメディ,approved,genre:comedy,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
アナルセックス,approved,genre:anal,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
縛り・緊縛,approved,genre:kinbaku,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
スパンキング,approved,genre:spanking,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
バック,approved,genre:rear_entry,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
男の潮吹き,approved,genre:male_squirting,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
復刻,approved,workType:reissue,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
16時間以上作品,approved,workType:over_four_hours,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
その他,approved,workType:other,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ハイクオリティVR,approved,workType:vr,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
スマホ推奨縦動画,approved,sourceOnly:technical_vertical_video,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
セット商品,approved,sourceOnly:product_bundle,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
独占配信,approved,sourceOnly:distribution_exclusive,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
FANZA配信限定,approved,sourceOnly:distribution_exclusive,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
すべてのセール,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
日替わりセール,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
みんなのお気に入り30％OFF第1弾,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
FANZA7周年50％OFF第9弾,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
SODグループ30％OFF第2弾,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
セレブの友他30％OFF,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ルナティックス30％OFF,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ブランドストア30％OFF！,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ポイント還元,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
期間限定セール,approved,sourceOnly:provider_marketing_campaign,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
セレブ,approved,genre:celebrity,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
極道・任侠,approved,genre:yakuza,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
白目・失神,approved,genre:fainting,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
スワッピング・夫婦交換,approved,genre:partner_swapping,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
ゲーム実写版,approved,genre:game_live_action,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
アイドル・芸能人,review-required,,genre:idol|genre:celebrity,fanza,FANZA grouped label spans multiple canonical concepts; preserve raw term and require review.
姉・妹,review-required,,genre:older_sister|genre:younger_sister,fanza,FANZA grouped label spans multiple canonical concepts; preserve raw term and require review.
女将・女主人,review-required,,genre:inn_proprietress|genre:hostess,fanza,FANZA grouped label spans multiple canonical concepts; preserve raw term and require review.
お嬢様・令嬢,review-required,,genre:young_lady|genre:heiress,fanza,FANZA grouped label spans multiple canonical concepts; preserve raw term and require review.
